,TotalEmployees,TotalEmployeesIndia,Rating,UrlName,CompanyType,Name,CompanyReviewsLive,CompanySalaries,InterviewExperiencesLive,Age,ShortName,Logo,HQCountry,headquaters,CompanyJobsLive,HQUrlName,CompanyId,location_count,industry_string,Subscribed
0,100001+,100001+,3.92,tcs,Public,Tata Consultancy Services,41589,394003,2783,54,TCS,tcs,India,"Mumbai,Maharashtra",55,mumbai,42,240,"BPO / Call Centre,IT Services & Consulting",0
1,100001+,100001+,4.14,accenture,Public,Accenture,27770,268685,2177,33,Accenture,accenture,Ireland,"Dublin,Dublin",7294,,273,132,"IT Services & Consulting,Software Product",0
2,100001+,100001+,3.94,cognizant,Private,Cognizant,25176,272214,1748,28,Cognizant,cognizant-technology-solutions,United States (USA),"Teaneck,New Jersey",316,,43,88,IT Services & Consulting,0
3,50001-100000,50001-100000,4.02,icici-bank,Public,ICICI Bank,32063,100049,940,28,ICICI Bank,icici_bank,India,"Mumbai,Maharashtra",150,mumbai,134,995,"Financial Services,Banking",0
4,100001+,100001+,3.93,wipro,Public,Wipro,23674,200635,1819,77,Wipro,wipro,India,"Bangalore/Bengaluru,Karnataka",520,bengaluru,44,254,IT Services & Consulting,0
5,100001+,100001+,4.01,hdfc-bank,Public,HDFC Bank,33183,95372,720,28,HDFC Bank,hdfc,India,"Mumbai,Maharashtra",179,mumbai,137,1116,"Financial Services,Banking,Insurance",0
6,100001+,100001+,3.91,capgemini,Public,Capgemini,20392,183090,1416,55,Capgemini,capgemini,France,Paris,587,,95,70,"Internet,Analytics / KPO / Research,IT Services & Consulting,Software Product",0
7,100001+,100001+,3.85,hcl-technologies,Public,HCL Technologies,20035,164175,1346,46,HCL Technologies,hcl-technologies-88,India,"Noida,Uttar Pradesh",807,noida,88,159,"Financial Services,Consumer Electronics & Appliances,IT Services & Consulting,Software Product",0
8,100001+,100001+,3.95,infosys,Public,Infosys,23952,230715,3044,41,Infosys,infosys,India,"Bangalore/Bengaluru,Karnataka",618,bengaluru,41,118,IT Services & Consulting,0
9,100001+,50001-100000,3.73,tech-mahindra,Public,Tech Mahindra,18635,123939,1177,36,Tech Mahindra,techmahindra,India,"Pune,Maharashtra",655,pune,351,181,"Consulting,Analytics / KPO / Research,IT Services & Consulting",0
10,50001-100000,50001-100000,4.03,genpact,Private,Genpact,18723,87308,865,25,Genpact,genpact-india-pvt-limited,United States (USA),"New York,New York",867,,298,60,Analytics / KPO / Research,0
11,50001-100000,50001-100000,3.86,axis-bank,Public,Axis Bank,16931,79150,609,29,Axis Bank,axis_bank,India,"Mumbai,Maharashtra",244,mumbai,562,999,"Financial Services,Banking",0
12,100001+,100001+,4.17,ibm,Public,IBM,13857,114206,790,111,IBM,ibm-global-services,United States,"Armonk,New York",4575,,136,108,"BPO/KPO,Consulting,Financial Services,Analytics / KPO / Research,IT Services & Consulting,Software Product",0
13,100001+,10001-50000,4.09,concentrix-corporation,Public,Concentrix Corporation,13349,47220,468,39,Concentrix Corporation,concentrix-corporation,United States (USA),"Fremont,California",110,,631479,62,"BPO/KPO,Recruitment / Staffing,BPO / Call Centre",0
14,100001+,100001+,4.22,amazon,Private,Amazon,13265,75508,1846,28,Amazon,amazon,United States,"Seattle,Washington",731,,114,329,"Internet,Retail,Courier / Logistics,IT Services & Consulting,Software Product",0
15,50001-100000,10001-50000,4.02,l-and-t,Public,Larsen and Toubro,17557,50512,554,84,Larsen & Toubro Limited,l-and-t,India,"Mumbai,Maharashtra",233,mumbai,70,490,"Industrial Equipment / Machinery,Engineering & Construction,Industrial Automation",0
16,10001-50000,10001-50000,3.99,reliance-jio,Public,Reliance jio,12987,48221,519,15,Reliance jio,reliance-jio-infocomm,India,"Navi Mumbai,Maharashtra",1541,navi-mumbai,417825,906,Telecom / ISP,0
17,10001-50000,10001-50000,4.25,vodafone-idea,Public,vodafone idea,12825,37186,225,4,Vodafone Idea,vodafone-idea,India,"Gandhinagar,Gujrat",302,mumbai,296267,548,Telecom / ISP,0
18,100001+,100001+,4.04,hdb-financial-services,Private,HDB Financial Services,11787,42325,291,15,HDB Financial Services,hdb-financial-services-6193,India,"Ahmedabad,Gujrat",101,ahmedabad,6193,711,"Financial Services,NBFC",0
19,100001+,50001-100000,3.6,teleperformance,Private,Teleperformance,9278,41847,509,44,Teleperformance,teleperformance-group,France,Paris,269,,153271,113,"BPO / Call Centre,IT Services & Consulting",0
20,10001-50000,10001-50000,3.89,kotak-mahindra-bank,Public,Kotak Mahindra Bank Ltd..,12252,47423,354,19,Kotak Mahindra Bank,kotak-mahindra-bank,India,"Mumbai,Maharashtra",161,mumbai,293916,457,"Financial Services,Banking",0
21,100001+,100001+,4.05,reliance,Public,Reliance Industries Limited,36658,37825,473,49,Reliance Industries ,reliance,India,"Navi Mumbai,Maharashtra",143,navi-mumbai,167,414,"Manufacturing,Oil / Gas / Petro Chemicals,Power,Textile & Apparel,Oil & Gas,Petrochemical / Plastics / Rubber",0
22,10001-50000,5001-10000,4.11,bharti-airtel,Public,Bharti Airtel,11597,30308,275,27,Bharti Airtel,airtel-bharti,India,"Gurgaon/Gurugram,Haryana",195,gurgaon,2244,467,Telecom / ISP,0
23,50001-100000,50001-100000,4.1,tata-motors,Public,Tata Motors,8258,26077,394,77,Tata Motors,tata-motors,India,"Pune,Maharashtra",16,pune,142,374,"Automobile,Manufacturing",0
24,100001+,10001-50000,4.05,deloitte,Private,Deloitte,8195,70917,835,177,Deloitte,deloitte-us-india,United States (USA),"New York,New York",161,,45,134,"Consulting,Accounting / Auditing",0
25,100001+,100001+,4.09,reliance-retail-limited,Private,Reliance Retail Limited,12407,29531,459,16,Reliance Retail,reliance-retail-limited,India,"Navi Mumbai,Maharashtra",380,navi-mumbai,6092,525,"Retail,Textile & Apparel",0
